City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Tura,IN,2020-04-18 05-47:53,25.52,90.22,83.73,56,95,5.97
223,Christchurch,NZ,2020-04-18 05-43:54,-43.53,172.63,64.4,47,1,14.99
224,Lavrentiya,RU,2020-04-18 05-47:54,65.58,-171.0,21.09,95,100,14.9
225,Riberalta,BO,2020-04-18 05-47:55,-10.98,-66.1,66.25,79,7,2.86
226,Matara,LK,2020-04-18 05-47:55,5.95,80.54,89.47,60,63,8.05
227,Upernavik,GL,2020-04-18 05-47:56,72.79,-56.15,22.33,92,99,5.53
228,Dalvik,IS,2020-04-18 05-47:57,65.97,-18.53,44.6,56,2,44.96
229,Wajir,KE,2020-04-18 05-47:57,1.75,40.06,82.98,63,91,10.54
230,Guerrero Negro,MX,2020-04-18 05-46:07,27.98,-114.06,59.36,78,2,14.88
231,American Canyon,US,2020-04-18 05-44:44,38.17,-122.26,55.0,76,90,5.82
232,Evensk,RU,2020-04-18 05-47:59,61.95,159.23,20.55,90,1,5.3
233,Kadhan,PK,2020-04-18 05-48:00,24.48,68.99,99.5,16,0,15.26
234,Jalu,LY,2020-04-18 05-48:00,29.03,21.55,65.35,46,0,4.85
235,Cam Ranh,VN,2020-04-18 05-48:01,11.92,109.16,89.6,75,20,9.17
236,Fortuna,US,2020-04-18 05-48:01,40.6,-124.16,52.0,93,90,5.82
237,Labuhan,ID,2020-04-18 05-48:02,-6.88,112.21,87.84,67,60,5.03
238,Orange,US,2020-04-18 05-43:08,33.7,-117.77,60.01,80,52,6.96
239,Barraute,CA,2020-04-18 05-48:02,48.43,-77.63,26.6,73,20,5.82
240,Makaryev,RU,2020-04-18 05-48:03,57.88,43.81,34.57,86,100,8.63
241,Georgetown,MY,2020-04-18 05-43:58,5.41,100.34,93.2,63,20,6.93
242,Coari,BR,2020-04-18 05-48:04,-4.08,-63.14,73.33,95,56,1.03
243,Lodja,CD,2020-04-18 05-48:05,-3.48,23.43,71.83,77,99,1.28
244,Corpus Christi,US,2020-04-18 05-48:05,27.8,-97.4,73.99,100,90,5.82
245,Nome,US,2020-04-18 05-48:06,64.5,-165.41,36.0,100,90,13.87
246,San Antonio,US,2020-04-18 05-45:12,29.42,-98.49,59.0,87,90,9.17
247,Ternate,ID,2020-04-18 05-48:07,0.8,127.4,84.67,74,35,3.96
248,Fort Nelson,CA,2020-04-18 05-48:07,58.81,-122.7,41.0,56,20,5.82
249,Omsukchan,RU,2020-04-18 05-48:08,62.53,155.8,6.4,84,100,8.59
250,Svetlaya,RU,2020-04-18 05-48:08,46.54,138.33,44.96,61,91,12.66
251,Banda Aceh,ID,2020-04-18 05-48:09,5.56,95.32,86.07,67,76,5.41
